username,artistname,track name
LordTrixx,Céline Dion,"My Heart Will Go On - Love Theme From ""Titanic"""
LordTrixx,Radiohead,No Surprises
LordTrixx,Linkin Park,One Step Closer
LordTrixx,twenty one pilots,Jumpsuit
LordTrixx,Avicii,Levels
LordTrixx,Radiohead,Creep
LordTrixx,Future,Like That
LordTrixx,A$AP Rocky,Purity (feat. Frank Ocean)
LordTrixx,Kanye West,Drive Slow
LordTrixx,JAM Project,THE HERO !!: Ikareru Kobushi ni Hi o Tsukero
LordTrixx,Travis Scott,MODERN JAM (feat. Teezo Touchdown)
LordTrixx,Creepy Nuts,堕天
LordTrixx,"Tyler, the Creator",Answer
LordTrixx,The Weeknd,Dark Times
LordTrixx,Young Thug,Digits
LordTrixx,Kanye West,Moon
LordTrixx,Lil Wayne,This Is The Carter
LordTrixx,Dire Straits,It Never Rains
LordTrixx,Shiro Sagisu,never meant to belong
LordTrixx,Kanye West,POWER
LordTrixx,Juice WRLD,Cigarettes
LordTrixx,Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)"
LordTrixx,JAY-Z,No Church in the Wild
LordTrixx,The Weeknd,Blinding Lights
LordTrixx,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
LordTrixx,Avicii,Hey Brother
LordTrixx,Travis Scott,WAKE UP
LordTrixx,Sabrina Carpenter,Please Please Please
LordTrixx,"Tyler, the Creator",Slater (feat. Frank Ocean)
LordTrixx,Kanye West,Father Stretch My Hands Pt. 1
LordTrixx,Yeat,Breathe
LordTrixx,J. Cole,Rich Niggaz
LordTrixx,Masatoshi Ono,Departure!
LordTrixx,Don Toliver,No Idea
LordTrixx,Travis Scott,Antidote
LordTrixx,21 Savage,all of me
LordTrixx,The Weeknd,Live For
LordTrixx,The Beatles,Here Comes the Sun - Remastered 2009
LordTrixx,YUI,Rolling star
LordTrixx,JID,Surround Sound (feat. 21 Savage & Baby Tate)
LordTrixx,Kendrick Lamar,luther (with SZA)
LordTrixx,Polo G,Finer Things
LordTrixx,Future,Fuck Up Some Commas
LordTrixx,Metro Boomin,Feel the Fiyaaaah (with A$AP Rocky & feat. Takeoff)
LordTrixx,Post Malone,Chemical
LordTrixx,Post Malone,Hollywood's Bleeding
LordTrixx,Future,Astronauts
LordTrixx,Ludwig Göransson,Can You Hear the Music
LordTrixx,Pusha T,Drug Dealers Anonymous
LordTrixx,Kendrick Lamar,Auntie Diaries
LordTrixx,Sid,嘘
LordTrixx,Polo G,Don’t Play (with Lil Baby)
LordTrixx,"Tyler, the Creator",435
LordTrixx,Juice WRLD,Wishing Well
LordTrixx,Future,Rocket Ship
LordTrixx,Sheet Music Boss,RUSH E
LordTrixx,Pink Floyd,Lucifer Sam
LordTrixx,Thousand Foot Krutch,Courtesy Call
LordTrixx,The Weeknd,Can't Feel My Face
LordTrixx,Avicii,Wake Me Up
LordTrixx,Kanye West,Can't Tell Me Nothing
LordTrixx,Lady Gaga,Just Dance
LordTrixx,Pink Floyd,Young Lust
